id,type,name
Q9HA90,Substrate,Q9HA90
Q96NK8,Substrate,Q96NK8
Q1T7F1,Substrate,Q1T7F1
Q8WU66,Substrate,Q8WU66
Q7Z4P5,Substrate,Q7Z4P5
Q7Z4S6,Substrate,Q7Z4S6
Q9NQW5,Substrate,Q9NQW5
Q9UJ78,Substrate,Q9UJ78
O95279,Substrate,O95279
O95299,Substrate,O95299
P62805,Substrate,P62805
Q5TCX8,Substrate,Q5TCX8
Q8IWK6,Substrate,Q8IWK6
Q8N6I4,Substrate,Q8N6I4
Q7Z3T1,Substrate,Q7Z3T1
P20839,Substrate,P20839
P49459,Substrate,P49459
Q1MX18,Substrate,Q1MX18
Q8WXH4,E3,Q8WXH4
P83369,Substrate,P83369
Q9BXB4,Substrate,Q9BXB4
Q96K17,Substrate,Q96K17
Q8N4L4,Substrate,Q8N4L4
Q9NUL7,Substrate,Q9NUL7
Q9NZW4,Substrate,Q9NZW4
Q4ADV7,Substrate,Q4ADV7
P19784,Substrate,P19784
Q96N96,Substrate,Q96N96
Q96C00,Substrate,Q96C00
Q9UL03,Substrate,Q9UL03
P13747,Substrate,P13747
Q3MJ62,Substrate,Q3MJ62
P12980,Substrate,P12980
Q99081,Substrate,Q99081
O60810,Substrate,O60810
Q15771,Substrate,Q15771
Q9NVI1,Substrate,Q9NVI1
Q9H814,Substrate,Q9H814
Q9HAC7,Substrate,Q9HAC7
O75437,Substrate,O75437
Q13011,Substrate,Q13011
Q9BSL1,E3,Q9BSL1
Q96R69,Substrate,Q96R69
Q8TC90,Substrate,Q8TC90
P26439,Substrate,P26439
Q9Y3C0,Substrate,Q9Y3C0
Q9UKB3,Substrate,Q9UKB3
O60303,Substrate,O60303
Q9BXI3,Substrate,Q9BXI3
Q69384,Substrate,Q69384
Q9Y696,Substrate,Q9Y696
Q3KP66,Substrate,Q3KP66
Q8NEZ5,E3,Q8NEZ5
Q8TEQ0,Substrate,Q8TEQ0
Q9NXR5,Substrate,Q9NXR5
Q9H900,Substrate,Q9H900
P47755,Substrate,P47755
P83105,Substrate,P83105
P0DV79,Substrate,P0DV79
Q86YL5,Substrate,Q86YL5
Q8NGC9,Substrate,Q8NGC9
Q5SWL8,Substrate,Q5SWL8
Q8TE54,Substrate,Q8TE54
Q99677,Substrate,Q99677
Q9UPV0,Substrate,Q9UPV0
P13985,Substrate,P13985
O15126,Substrate,O15126
Q01105,Substrate,Q01105
Q9Y2G9,Substrate,Q9Y2G9
O94903,Substrate,O94903
Q13191,E3,Q13191
Q99836,Substrate,Q99836
Q496J9,Substrate,Q496J9
Q9ULL8,Substrate,Q9ULL8
A0A075B6S0,Substrate,A0A075B6S0
Q6Y7W6,Substrate,Q6Y7W6
Q86UV7,Substrate,Q86UV7
Q8IYP9,Substrate,Q8IYP9
